,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,20.015,0.201,254229,1.5423,0.15398,0.14896,-0.1022,0.0249,1.0
1,19.966,0.198,250169,1.5426,0.15281,0.14773,-0.1016,0.0253,1.0
2,20.026,0.199,248690,1.5427,0.15365,0.14861,-0.1018,0.0252,1.0
3,19.999,0.197,246228,1.5428,0.15298,0.1479,-0.1014,0.0255,1.0
4,20.035,0.201,252278,1.5423,0.1542,0.14918,-0.1022,0.025,1.0
5,19.995,0.198,246827,1.5426,0.15308,0.14801,-0.1015,0.0254,1.0
6,19.92,0.201,253074,1.5418,0.15269,0.14761,-0.1017,0.0252,1.0
7,20.051,0.203,251955,1.542,0.15466,0.14966,-0.1024,0.0249,1.0
8,19.993,0.201,250649,1.5422,0.15354,0.1485,-0.1019,0.0252,1.0
9,19.978,0.2,250431,1.5423,0.15321,0.14814,-0.1017,0.0252,1.0
