,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,1.064,0.2,253722,0.9268,0.01234,0.00517,-0.1774,0.6188,0.5094
1,0.967,0.198,251010,0.9169,0.01267,0.00508,-0.1774,0.6235,0.3848
2,1.017,0.201,247638,0.9226,0.01265,0.00518,-0.1775,0.6227,0.4257
3,0.997,0.201,249633,0.9205,0.01267,0.00514,-0.1775,0.6226,0.4024
4,0.963,0.203,253544,0.9172,0.01266,0.00507,-0.1775,0.622,0.3774
5,1.03,0.201,248518,0.9239,0.01259,0.00519,-0.1775,0.6219,0.441
6,1.031,0.199,250655,0.9236,0.01255,0.00515,-0.1774,0.6212,0.4379
7,0.942,0.197,251973,0.9141,0.01268,0.00505,-0.1774,0.6241,0.3732
8,0.998,0.197,246110,0.9201,0.01269,0.00517,-0.1775,0.6245,0.4143
9,0.968,0.201,251199,0.9175,0.01268,0.00509,-0.1775,0.623,0.3834
