,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,8.008,0.201,250499,1.6559,0.01962,0.01291,-0.1672,0.4777,1.0
1,7.923,0.197,247915,1.6507,0.01954,0.01271,-0.1682,0.4805,1.0
2,7.925,0.202,250802,1.6504,0.01949,0.01272,-0.1678,0.4793,1.0
3,7.921,0.198,246476,1.6516,0.0196,0.01275,-0.1684,0.4809,1.0
4,7.925,0.201,249611,1.6507,0.01952,0.01273,-0.1679,0.4797,1.0
5,8.024,0.201,249009,1.6575,0.01971,0.01298,-0.1671,0.4778,1.0
6,8.008,0.202,247181,1.6572,0.01976,0.01301,-0.1674,0.4786,1.0
7,8.053,0.198,247237,1.6593,0.01979,0.01306,-0.1671,0.4779,1.0
8,8.04,0.199,250730,1.6577,0.01964,0.01295,-0.1669,0.4771,1.0
9,7.951,0.199,245377,1.654,0.0197,0.01286,-0.1681,0.4805,1.0
