,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.021,0.201,247808,1.2442,0.01441,0.00717,-0.1736,0.5502,1.0
1,4.051,0.2,245536,1.2472,0.01449,0.00724,-0.1735,0.5504,1.0
2,3.977,0.2,252642,1.2393,0.01423,0.00703,-0.1736,0.5496,1.0
3,4.051,0.202,248879,1.2479,0.01442,0.00718,-0.1736,0.5492,1.0
4,4.041,0.202,250365,1.2469,0.01437,0.00714,-0.1736,0.549,1.0
5,3.932,0.202,248377,1.2347,0.0143,0.00709,-0.1736,0.5516,1.0
6,4.026,0.201,254565,1.2453,0.01424,0.00704,-0.1736,0.5481,1.0
7,4.024,0.202,249282,1.2449,0.01438,0.00715,-0.1736,0.5496,1.0
8,4.071,0.2,247607,1.2495,0.01446,0.00721,-0.1735,0.5494,1.0
9,3.922,0.199,245874,1.2328,0.01434,0.00712,-0.1736,0.5528,1.0
