,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,-0.049,0.201,0.9095,0.01384,0.0057,-0.2006,0.6407,0.157
1,-0.006,0.201,0.9139,0.01388,0.00573,-0.2005,0.6394,0.1602
2,0.017,0.199,0.916,0.01386,0.00571,-0.2004,0.6384,0.1618
3,-0.042,0.201,0.91,0.01369,0.0056,-0.2005,0.6379,0.1561
4,0.048,0.201,0.9196,0.0139,0.00573,-0.2004,0.6374,0.1641
5,-0.061,0.201,0.9083,0.01386,0.00571,-0.2006,0.6414,0.1563
6,0.018,0.201,0.9164,0.01372,0.00562,-0.2004,0.636,0.1604
7,-0.013,0.2,0.913,0.01384,0.00571,-0.2005,0.6393,0.1595
8,-0.0,0.199,0.9142,0.01375,0.00564,-0.2004,0.6376,0.1597
9,0.039,0.201,0.9186,0.01383,0.00569,-0.2004,0.6367,0.1628
10,-0.08,0.2,0.906,0.0137,0.0056,-0.2005,0.6398,0.1539
11,-0.055,0.201,0.9089,0.01386,0.00571,-0.2006,0.6411,0.1567
12,0.062,0.2,0.9209,0.01388,0.00571,-0.2004,0.6368,0.165
13,-0.028,0.199,0.9113,0.01383,0.00569,-0.2005,0.6399,0.1584
14,-0.057,0.2,0.9086,0.01387,0.00572,-0.2006,0.6416,0.1568
15,-0.067,0.2,0.9075,0.01384,0.00569,-0.2006,0.6416,0.1559
16,0.004,0.2,0.9148,0.01376,0.00565,-0.2004,0.6373,0.1599
17,-0.014,0.201,0.913,0.01381,0.00569,-0.2005,0.6387,0.159
18,-0.003,0.2,0.9141,0.01389,0.00574,-0.2005,0.6397,0.1606
19,-0.075,0.199,0.9064,0.01377,0.00564,-0.2005,0.6409,0.1549
20,0.029,0.2,0.9174,0.01381,0.00568,-0.2004,0.6371,0.1621
21,0.036,0.2,0.9182,0.01372,0.00561,-0.2003,0.6355,0.1618
22,-0.053,0.2,0.9089,0.01381,0.00568,-0.2006,0.6405,0.1565
23,0.034,0.2,0.918,0.01375,0.00563,-0.2004,0.636,0.1619
24,-0.037,0.2,0.9105,0.01383,0.00569,-0.2005,0.6401,0.1577
25,-0.03,0.199,0.9112,0.01392,0.00575,-0.2006,0.6414,0.1591
26,-0.073,0.201,0.9068,0.0137,0.00559,-0.2005,0.6392,0.1541
27,-0.041,0.2,0.9102,0.0139,0.00574,-0.2006,0.6414,0.1581
