,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,11.973,0.2,1.0585,0.04488,0.03956,0.038,0.0359,1.0
1,11.982,0.2,1.0576,0.04506,0.03975,0.0381,0.036,1.0
2,12.043,0.199,1.0567,0.04565,0.04037,0.0384,0.0358,1.0
3,11.994,0.2,1.061,0.04476,0.03942,0.0381,0.0357,1.0
4,12.007,0.199,1.0577,0.04525,0.03995,0.0382,0.0359,1.0
5,12.025,0.2,1.0574,0.04542,0.04014,0.0383,0.0358,1.0
6,12.05,0.2,1.054,0.04601,0.04076,0.0385,0.0359,1.0
7,11.964,0.2,1.0557,0.04517,0.03986,0.0381,0.0362,1.0
8,11.985,0.2,1.0543,0.04549,0.0402,0.0382,0.0362,1.0
9,11.95,0.199,1.0573,0.04488,0.03954,0.0379,0.0362,1.0
10,12.034,0.2,1.0535,0.04595,0.0407,0.0384,0.036,1.0
11,12.069,0.199,1.0615,0.04532,0.04002,0.0384,0.0355,1.0
12,12.065,0.199,1.0575,0.04573,0.04046,0.0384,0.0357,1.0
13,11.979,0.2,1.0545,0.04543,0.04013,0.0382,0.0362,1.0
14,11.922,0.201,1.0574,0.04463,0.03929,0.0378,0.0362,1.0
