,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,18.995,0.2,0.5382,0.19378,0.19056,-0.0234,0.0397,1.0
1,19.051,0.199,0.5366,0.19447,0.19122,-0.0241,0.0398,1.0
2,19.048,0.199,0.5403,0.19439,0.19117,-0.0235,0.0396,1.0
3,18.961,0.2,0.5348,0.19347,0.19024,-0.0238,0.0399,1.0
4,19.036,0.201,0.5366,0.19432,0.19108,-0.024,0.0398,1.0
5,19.067,0.2,0.5373,0.19464,0.1914,-0.0241,0.0398,1.0
6,18.987,0.2,0.5344,0.19382,0.19058,-0.024,0.04,1.0
7,18.953,0.201,0.5353,0.19336,0.19014,-0.0237,0.0399,1.0
8,18.94,0.199,0.5347,0.1932,0.18998,-0.0236,0.0399,1.0
9,19.067,0.2,0.5382,0.19463,0.1914,-0.024,0.0397,1.0
10,18.988,0.199,0.5345,0.19381,0.19057,-0.024,0.0399,1.0
11,18.991,0.2,0.5347,0.19386,0.19062,-0.024,0.0399,1.0
12,18.97,0.201,0.5333,0.19372,0.19047,-0.0241,0.0401,1.0
13,18.959,0.2,0.5355,0.19341,0.19018,-0.0236,0.0398,1.0
14,19.058,0.199,0.5403,0.19451,0.19129,-0.0235,0.0396,1.0
