,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.053,0.199,250881,0.7247,0.0107,0.00442,-0.0546,0.5192,1.0
1,3.952,0.2,251951,0.7152,0.0106,0.00435,-0.0551,0.5252,1.0
2,3.987,0.198,253865,0.7182,0.01059,0.00435,-0.0549,0.5223,1.0
3,4.071,0.202,246936,0.727,0.01079,0.00448,-0.0546,0.5193,1.0
4,3.995,0.202,246644,0.7197,0.01073,0.00444,-0.0549,0.5244,1.0
5,4.072,0.202,254732,0.7269,0.01068,0.00439,-0.0545,0.5163,1.0
6,3.956,0.199,254246,0.7154,0.01056,0.00433,-0.055,0.5241,1.0
7,4.068,0.201,252294,0.7264,0.0107,0.00441,-0.0546,0.5175,1.0
8,4.037,0.203,253198,0.7238,0.01066,0.00439,-0.0547,0.5188,1.0
9,3.989,0.203,254198,0.7192,0.0106,0.00436,-0.0549,0.5214,1.0
