,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,2.074,0.201,249664,0.5343,0.0094,0.00361,-0.0625,0.6472,1.0
1,2.003,0.198,254487,0.527,0.00928,0.00356,-0.0627,0.6496,1.0
2,1.972,0.201,245985,0.5245,0.00939,0.00365,-0.0629,0.655,1.0
3,1.94,0.198,252106,0.521,0.00928,0.00358,-0.0629,0.6547,1.0
4,1.99,0.199,254755,0.5259,0.00927,0.00356,-0.0627,0.6501,1.0
5,2.025,0.199,248490,0.5293,0.00938,0.00362,-0.0627,0.6506,1.0
6,1.988,0.199,249445,0.5257,0.00934,0.00361,-0.0628,0.6526,1.0
7,2.023,0.198,250562,0.529,0.00935,0.0036,-0.0626,0.65,1.0
8,2.076,0.198,254870,0.5341,0.00931,0.00357,-0.0624,0.6447,1.0
9,1.975,0.199,252806,0.5244,0.00929,0.00358,-0.0628,0.6519,1.0
