,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.011,0.2,252644,0.6245,0.0099,0.00387,-0.0588,0.5848,1.0
1,2.962,0.202,249871,0.6201,0.00991,0.00388,-0.0591,0.5887,1.0
2,3.061,0.202,253661,0.6296,0.00994,0.00387,-0.0586,0.5815,1.0
3,3.025,0.202,245261,0.6262,0.01003,0.00395,-0.0588,0.5868,1.0
4,3.033,0.199,247429,0.6266,0.01,0.00393,-0.0588,0.5858,1.0
5,3.015,0.197,252683,0.6245,0.0099,0.00386,-0.0588,0.5849,1.0
6,3.037,0.203,249486,0.6275,0.00998,0.00391,-0.0588,0.5842,1.0
7,3.029,0.197,253924,0.6258,0.00989,0.00385,-0.0587,0.5836,1.0
8,3.01,0.2,245922,0.6245,0.01,0.00394,-0.0589,0.5877,1.0
9,3.015,0.199,253029,0.6248,0.0099,0.00386,-0.0588,0.5845,1.0
