,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,14.009,0.2,252520,1.2776,0.05728,0.05128,0.0057,0.0343,1.0
1,14.008,0.198,245496,1.2814,0.05713,0.05104,0.006,0.0347,1.0
2,13.924,0.203,250410,1.2801,0.05639,0.05029,0.0059,0.0345,1.0
3,13.964,0.198,249022,1.2822,0.05647,0.05036,0.0059,0.0345,1.0
4,13.962,0.199,248086,1.2821,0.05657,0.05045,0.006,0.0346,1.0
5,14.073,0.2,247091,1.2774,0.05836,0.05236,0.006,0.0345,1.0
6,13.927,0.198,254156,1.281,0.05582,0.04975,0.0055,0.0343,1.0
7,14.053,0.202,246495,1.2775,0.05829,0.05227,0.0061,0.0345,1.0
8,14.027,0.2,250313,1.2779,0.05759,0.05158,0.0058,0.0344,1.0
9,13.951,0.201,254025,1.2785,0.05649,0.05046,0.0056,0.0343,1.0
