,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.99,0.201,252600,0.4301,0.00898,0.00367,-0.0664,0.7216,1.0
1,1.027,0.203,251660,0.4339,0.009,0.00367,-0.0663,0.719,1.0
2,1.014,0.198,251276,0.4321,0.00899,0.00367,-0.0663,0.7209,1.0
3,0.924,0.198,251782,0.4199,0.00897,0.00368,-0.0658,0.7281,0.9987
4,1.023,0.203,247007,0.4336,0.00907,0.00371,-0.0664,0.7216,1.0
5,0.971,0.202,248413,0.4285,0.00904,0.00371,-0.0665,0.7251,1.0
6,1.047,0.202,254311,0.4357,0.00896,0.00363,-0.0662,0.7166,1.0
7,0.92,0.202,247287,0.4227,0.00905,0.00373,-0.0665,0.7299,0.9996
8,0.957,0.2,253510,0.4252,0.00895,0.00367,-0.0661,0.724,0.9994
9,1.041,0.201,254439,0.435,0.00896,0.00363,-0.0662,0.7171,1.0
