,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,13.075,0.197,253507,1.274,0.04653,0.04008,0.0029,0.037,1.0
1,13.046,0.202,250001,1.2714,0.04684,0.04041,0.0032,0.0374,1.0
2,12.945,0.202,252437,1.2704,0.04573,0.03924,0.0027,0.0375,1.0
3,12.93,0.203,251487,1.2699,0.04571,0.03922,0.0028,0.0377,1.0
4,12.943,0.203,250591,1.2699,0.04589,0.03939,0.0028,0.0377,1.0
5,12.962,0.202,247100,1.27,0.04621,0.03972,0.003,0.0379,1.0
6,13.047,0.201,254417,1.2726,0.04649,0.04006,0.003,0.037,1.0
7,12.929,0.201,253211,1.2706,0.04547,0.03896,0.0026,0.0375,1.0
8,13.01,0.199,252208,1.2722,0.04615,0.03967,0.0029,0.0373,1.0
9,13.008,0.203,246447,1.2702,0.04677,0.04031,0.0033,0.0378,1.0
