,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.941,0.198,249036,1.3754,0.05096,0.04391,-0.0407,0.0497,1.0
1,13.043,0.199,252129,1.3746,0.05219,0.04515,-0.0404,0.0486,1.0
2,13.054,0.199,247349,1.3741,0.05238,0.04534,-0.0402,0.0491,1.0
3,12.947,0.197,250769,1.376,0.05092,0.04387,-0.0408,0.0495,1.0
4,13.035,0.202,246604,1.3736,0.05238,0.04535,-0.0402,0.0493,1.0
5,13.051,0.199,251340,1.3745,0.05229,0.04525,-0.0403,0.0486,1.0
6,12.944,0.202,253021,1.3755,0.05118,0.04415,-0.0408,0.0492,1.0
7,12.925,0.198,249797,1.3757,0.05076,0.04371,-0.0408,0.0498,1.0
8,13.021,0.201,249861,1.3744,0.05209,0.04505,-0.0404,0.049,1.0
9,13.011,0.198,249739,1.3751,0.05176,0.04472,-0.0405,0.0491,1.0
