,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,17.949,0.197,247840,1.3606,0.11816,0.11333,-0.0427,0.0291,1.0
1,18.05,0.198,254515,1.3548,0.12076,0.11604,-0.0441,0.0286,1.0
2,17.974,0.2,253431,1.3587,0.11898,0.11418,-0.043,0.0287,1.0
3,18.024,0.202,254232,1.3535,0.12089,0.11617,-0.0441,0.0286,1.0
4,18.015,0.197,247678,1.3585,0.11946,0.11466,-0.0431,0.029,1.0
5,17.93,0.203,253846,1.3591,0.11849,0.11368,-0.0427,0.0287,1.0
6,17.929,0.202,253847,1.3595,0.11832,0.1135,-0.0427,0.0287,1.0
7,18.064,0.2,249682,1.3551,0.12087,0.11611,-0.0435,0.0288,1.0
8,17.971,0.203,246927,1.3509,0.12082,0.11612,-0.0442,0.0293,1.0
9,18.076,0.201,247554,1.3522,0.1218,0.11709,-0.0442,0.029,1.0
