,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,7.058,0.202,245282,1.2325,0.01476,0.00812,-0.0924,0.4257,1.0
1,7.024,0.2,252236,1.229,0.01455,0.00795,-0.0926,0.4254,1.0
2,6.953,0.202,249955,1.223,0.01451,0.00793,-0.0929,0.4293,1.0
3,6.95,0.202,245427,1.2227,0.01461,0.00801,-0.093,0.4309,1.0
4,6.948,0.2,245338,1.222,0.0146,0.008,-0.093,0.4313,1.0
5,7.022,0.199,251444,1.2285,0.01456,0.00796,-0.0926,0.4259,1.0
6,6.965,0.202,247764,1.224,0.01457,0.00799,-0.0929,0.4294,1.0
7,6.929,0.202,250955,1.2208,0.01446,0.00789,-0.093,0.4302,1.0
8,7.041,0.198,246164,1.23,0.01469,0.00807,-0.0925,0.4266,1.0
9,6.967,0.202,254312,1.2242,0.01444,0.00787,-0.0929,0.4273,1.0
