,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.039,0.198,253723,0.821,0.01089,0.00438,-0.1029,0.5881,1.0
1,3.036,0.202,246254,0.8212,0.01102,0.00448,-0.103,0.5902,1.0
2,3.03,0.199,245401,0.82,0.01102,0.00449,-0.103,0.591,1.0
3,2.982,0.199,252963,0.8148,0.01085,0.00436,-0.103,0.59,1.0
4,2.964,0.197,251370,0.8124,0.01085,0.00437,-0.103,0.5913,1.0
5,2.969,0.197,252359,0.813,0.01084,0.00436,-0.103,0.5908,1.0
6,3.039,0.2,247454,0.8212,0.011,0.00446,-0.1029,0.5899,1.0
7,2.945,0.201,251293,0.811,0.01085,0.00437,-0.103,0.5916,1.0
8,2.93,0.202,247809,0.8096,0.0109,0.00441,-0.1031,0.5933,1.0
9,3.061,0.199,245689,0.8235,0.01105,0.0045,-0.1029,0.5899,1.0
