,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,16.98,0.2,250898,1.3793,0.10154,0.09631,-0.0374,0.0308,1.0
1,17.075,0.199,247636,1.376,0.10334,0.09816,-0.0378,0.0309,1.0
2,17.046,0.202,247789,1.3748,0.10334,0.09816,-0.0378,0.0309,1.0
3,17.031,0.202,252969,1.3781,0.10262,0.09742,-0.0379,0.0305,1.0
4,16.943,0.2,249825,1.3797,0.10095,0.09569,-0.0372,0.0309,1.0
5,17.065,0.203,248194,1.3739,0.10385,0.09869,-0.038,0.0309,1.0
6,16.925,0.201,252204,1.3806,0.10066,0.09539,-0.0373,0.0308,1.0
7,16.982,0.2,247713,1.3778,0.10179,0.09656,-0.0373,0.031,1.0
8,16.958,0.197,249285,1.381,0.10074,0.09547,-0.0371,0.0309,1.0
9,16.945,0.2,251947,1.3806,0.10085,0.09559,-0.0373,0.0308,1.0
