,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.026,0.199,248515,1.3741,0.04136,0.03407,-0.0446,0.059,1.0
1,11.987,0.201,246639,1.3731,0.04115,0.03385,-0.0447,0.0598,1.0
2,11.93,0.2,245800,1.3726,0.04058,0.03326,-0.045,0.0607,1.0
3,11.975,0.2,253026,1.3758,0.04072,0.03343,-0.045,0.0589,1.0
4,11.975,0.197,251024,1.3756,0.04062,0.03332,-0.045,0.0593,1.0
5,12.019,0.2,250767,1.3748,0.04127,0.03398,-0.0447,0.0587,1.0
6,11.956,0.203,250060,1.3742,0.0408,0.03352,-0.0449,0.0595,1.0
7,12.042,0.197,250484,1.375,0.04136,0.03406,-0.0447,0.0585,1.0
8,11.938,0.203,250379,1.3743,0.04061,0.03332,-0.045,0.0597,1.0
9,11.987,0.199,254278,1.3762,0.04075,0.03347,-0.045,0.0586,1.0
