,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,1.015,0.199,251305,0.6039,0.00948,0.00366,-0.1064,0.6761,1.0
1,1.02,0.201,245631,0.6047,0.00958,0.00372,-0.1065,0.678,1.0
2,1.046,0.198,247623,0.6071,0.00956,0.0037,-0.1063,0.6761,1.0
3,0.929,0.2,250811,0.5951,0.00944,0.00365,-0.1066,0.6808,1.0
4,0.927,0.199,245149,0.595,0.00954,0.0037,-0.1067,0.6838,1.0
5,1.003,0.198,252522,0.6025,0.00945,0.00364,-0.1064,0.6763,1.0
6,1.001,0.197,248351,0.6022,0.00952,0.00368,-0.1064,0.6783,1.0
7,1.032,0.201,245841,0.606,0.00959,0.00372,-0.1064,0.6772,1.0
8,1.059,0.198,251636,0.6085,0.00949,0.00365,-0.1063,0.6739,1.0
9,1.006,0.198,248636,0.6029,0.00952,0.00368,-0.1064,0.6778,1.0
