,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,8.99,0.198,254001,1.3602,0.01822,0.01146,-0.0762,0.2528,1.0
1,9.033,0.203,248285,1.3618,0.01853,0.01173,-0.0754,0.2487,1.0
2,9.068,0.199,247666,1.3624,0.01863,0.01181,-0.0751,0.2456,1.0
3,9.036,0.201,247817,1.3618,0.01852,0.01172,-0.0754,0.2492,1.0
4,8.96,0.203,254918,1.3594,0.01817,0.01141,-0.0763,0.2548,1.0
5,9.004,0.201,250772,1.3608,0.01836,0.01158,-0.0759,0.2519,1.0
6,9.057,0.202,245430,1.3624,0.01865,0.01184,-0.0751,0.2475,1.0
7,8.921,0.199,249221,1.3588,0.01803,0.0113,-0.0772,0.264,1.0
8,8.982,0.201,250628,1.3599,0.01829,0.01151,-0.0761,0.2552,1.0
9,8.953,0.198,248319,1.3596,0.01815,0.0114,-0.0768,0.2607,1.0
