,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.079,0.199,245919,0.9334,0.01194,0.00524,-0.1014,0.5536,1.0
1,3.932,0.203,250433,0.9182,0.01172,0.00507,-0.1016,0.5566,1.0
2,4.029,0.2,247857,0.9283,0.01187,0.00517,-0.1015,0.5547,1.0
3,4.059,0.2,246626,0.9315,0.01191,0.00521,-0.1015,0.554,1.0
4,3.935,0.202,246743,0.9182,0.01178,0.00512,-0.1016,0.5578,1.0
5,4.006,0.198,248102,0.9254,0.01183,0.00513,-0.1015,0.5555,1.0
6,3.93,0.2,248015,0.9173,0.01175,0.00509,-0.1016,0.5577,1.0
7,3.94,0.197,251583,0.9179,0.01169,0.00504,-0.1016,0.5565,1.0
8,3.994,0.2,245254,0.9244,0.01187,0.00517,-0.1016,0.5566,1.0
9,3.936,0.202,251989,0.9185,0.0117,0.00504,-0.1016,0.5561,1.0
