,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,9.077,0.199,1.6074,0.01904,0.01269,-0.1297,0.4103,1.0
1,9.011,0.201,1.6054,0.01897,0.01257,-0.1306,0.4128,1.0
2,9.037,0.2,1.6061,0.019,0.01262,-0.1302,0.4119,1.0
3,8.939,0.2,1.6022,0.01882,0.01238,-0.1316,0.4153,1.0
4,8.936,0.2,1.6019,0.01885,0.01241,-0.1316,0.4157,1.0
5,8.941,0.2,1.6023,0.01894,0.01249,-0.1316,0.4163,1.0
6,8.959,0.201,1.6039,0.01889,0.01243,-0.1314,0.4148,1.0
7,9.027,0.199,1.6065,0.01906,0.01264,-0.1306,0.4132,1.0
8,9.056,0.201,1.6066,0.01899,0.01264,-0.1299,0.4106,1.0
9,9.038,0.199,1.6059,0.01897,0.0126,-0.1303,0.4118,1.0
10,9.046,0.2,1.6062,0.01897,0.01261,-0.1301,0.4112,1.0
11,8.925,0.2,1.6011,0.01886,0.01242,-0.1317,0.4164,1.0
12,8.998,0.2,1.6051,0.01896,0.01254,-0.1309,0.4136,1.0
13,9.063,0.2,1.6077,0.01911,0.01273,-0.13,0.4115,1.0
14,9.019,0.2,1.606,0.01901,0.0126,-0.1306,0.413,1.0
