,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.98,0.201,1.6548,0.02564,0.0195,-0.1045,0.2837,1.0
1,11.063,0.2,1.6525,0.02624,0.02006,-0.1033,0.2718,1.0
2,10.982,0.2,1.6543,0.02561,0.01947,-0.1045,0.282,1.0
3,10.96,0.201,1.6551,0.02549,0.01935,-0.1048,0.2855,1.0
4,11.064,0.2,1.6525,0.02625,0.02008,-0.1033,0.2723,1.0
5,10.987,0.201,1.6538,0.02568,0.01953,-0.1044,0.2804,1.0
6,11.069,0.2,1.6524,0.02629,0.02011,-0.1032,0.2712,1.0
7,11.028,0.201,1.6528,0.02603,0.01985,-0.1037,0.2768,1.0
8,11.0,0.2,1.6533,0.02576,0.0196,-0.1042,0.2791,1.0
9,11.021,0.201,1.6531,0.02598,0.01981,-0.1038,0.2788,1.0
10,10.95,0.199,1.6552,0.02534,0.01921,-0.1051,0.2868,1.0
11,11.007,0.2,1.6535,0.02582,0.01966,-0.1041,0.2797,1.0
12,10.993,0.2,1.6542,0.02571,0.01956,-0.1044,0.2818,1.0
13,11.065,0.199,1.6526,0.02623,0.02005,-0.1033,0.2727,1.0
14,10.971,0.199,1.6546,0.02548,0.01934,-0.1048,0.2829,1.0
