,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,7.935,0.2,1.5345,0.0178,0.01118,-0.1404,0.4559,1.0
1,8.06,0.2,1.5431,0.01786,0.01123,-0.1393,0.4498,1.0
2,7.947,0.2,1.5349,0.01774,0.01113,-0.1402,0.4546,1.0
3,7.99,0.2,1.5381,0.01788,0.01126,-0.1399,0.4537,1.0
4,7.931,0.2,1.5339,0.01773,0.01112,-0.1403,0.4554,1.0
5,8.034,0.2,1.5411,0.01786,0.01123,-0.1394,0.4511,1.0
6,7.991,0.2,1.5381,0.01786,0.01124,-0.1398,0.4534,1.0
7,7.94,0.201,1.5351,0.01783,0.01121,-0.1403,0.4557,1.0
8,8.071,0.201,1.5446,0.01782,0.01117,-0.1392,0.4486,1.0
9,8.047,0.2,1.5421,0.0179,0.01126,-0.1394,0.4508,1.0
10,7.996,0.2,1.5382,0.01778,0.01116,-0.1397,0.4523,1.0
11,8.077,0.201,1.5449,0.01793,0.01129,-0.1392,0.4495,1.0
12,7.945,0.201,1.5351,0.01776,0.01115,-0.1402,0.4547,1.0
13,7.968,0.201,1.5368,0.01783,0.01121,-0.14,0.4542,1.0
14,7.935,0.201,1.535,0.01785,0.01122,-0.1404,0.4562,1.0
