,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,17.946,0.2,1.4847,0.12258,0.11687,-0.0771,0.0308,1.0
1,18.005,0.201,1.4854,0.12326,0.11756,-0.077,0.0308,1.0
2,17.925,0.2,1.4844,0.12237,0.11665,-0.0771,0.0308,1.0
3,17.991,0.201,1.4847,0.12335,0.11768,-0.0773,0.0305,1.0
4,18.078,0.2,1.4859,0.12415,0.11852,-0.0772,0.0304,1.0
5,18.026,0.201,1.4855,0.12352,0.11784,-0.077,0.0307,1.0
6,18.006,0.199,1.4855,0.12312,0.11743,-0.077,0.0307,1.0
7,17.926,0.2,1.4847,0.12225,0.11651,-0.0769,0.031,1.0
8,17.999,0.2,1.4852,0.1232,0.11751,-0.0771,0.0307,1.0
9,18.009,0.2,1.4856,0.12319,0.11749,-0.0769,0.0308,1.0
10,17.948,0.2,1.4847,0.1226,0.11688,-0.0771,0.0308,1.0
11,17.954,0.201,1.485,0.1226,0.11687,-0.0768,0.031,1.0
12,17.974,0.2,1.4849,0.12295,0.11725,-0.0772,0.0307,1.0
13,18.051,0.2,1.4855,0.12393,0.11829,-0.0774,0.0304,1.0
14,18.059,0.2,1.4857,0.12392,0.11827,-0.0772,0.0305,1.0
