,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,5.992,0.2,1.1321,0.01362,0.00698,-0.097,0.4789,1.0
1,6.062,0.2,1.1391,0.01371,0.00703,-0.0968,0.4759,1.0
2,5.956,0.2,1.1285,0.01359,0.00695,-0.0971,0.4806,1.0
3,5.96,0.2,1.1289,0.01358,0.00695,-0.0971,0.4802,1.0
4,6.06,0.201,1.1393,0.01365,0.00698,-0.0968,0.475,1.0
5,5.933,0.2,1.1263,0.01356,0.00693,-0.0972,0.4816,1.0
6,5.998,0.2,1.1327,0.01357,0.00694,-0.097,0.4778,1.0
7,6.04,0.2,1.1369,0.01368,0.00702,-0.0968,0.4768,1.0
8,5.997,0.201,1.1328,0.01364,0.00699,-0.097,0.4787,1.0
9,5.981,0.199,1.1307,0.01359,0.00696,-0.097,0.4793,1.0
10,5.988,0.2,1.1317,0.01355,0.00692,-0.097,0.4781,1.0
11,5.968,0.199,1.1294,0.01352,0.0069,-0.097,0.479,1.0
12,6.003,0.2,1.1332,0.01359,0.00695,-0.0969,0.4778,1.0
13,5.922,0.2,1.1252,0.01356,0.00692,-0.0972,0.4821,1.0
14,6.07,0.201,1.1403,0.01371,0.00703,-0.0968,0.4753,1.0
