,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.061,0.201,0.6015,0.00947,0.004,-0.1304,0.7,1.0
1,-0.018,0.201,0.5792,0.00973,0.00408,-0.1281,0.7044,0.8033
2,0.052,0.201,0.6006,0.00947,0.004,-0.1304,0.7006,1.0
3,-0.06,0.201,0.578,0.00988,0.00406,-0.1292,0.7057,0.7378
4,-0.056,0.2,0.5774,0.00987,0.00409,-0.129,0.7063,0.752
5,-0.026,0.201,0.5774,0.00979,0.00417,-0.128,0.7063,0.8125
6,0.079,0.201,0.6036,0.00958,0.00406,-0.1304,0.7014,1.0
7,-0.018,0.2,0.5773,0.00977,0.0042,-0.1276,0.7068,0.8398
8,0.056,0.2,0.6009,0.00946,0.004,-0.1304,0.7003,1.0
9,-0.059,0.201,0.5772,0.00989,0.00411,-0.129,0.7066,0.7495
10,-0.003,0.201,0.5804,0.00967,0.00405,-0.1279,0.7032,0.818
11,0.073,0.2,0.6027,0.00951,0.00402,-0.1304,0.7004,1.0
12,-0.044,0.201,0.5765,0.00987,0.00418,-0.1284,0.7074,0.7883
13,0.036,0.2,0.5988,0.00957,0.00407,-0.1305,0.7041,1.0
14,0.067,0.2,0.6021,0.00951,0.00402,-0.1304,0.7009,1.0
15,-0.072,0.2,0.5773,0.00992,0.00406,-0.1294,0.7063,0.7216
16,0.077,0.199,0.6033,0.00961,0.00407,-0.1304,0.7026,1.0
17,0.066,0.201,0.6021,0.0095,0.00402,-0.1304,0.7005,1.0
18,-0.062,0.2,0.5764,0.00991,0.00414,-0.1289,0.7074,0.7538
19,-0.009,0.201,0.5785,0.00973,0.00416,-0.1276,0.7057,0.8453
20,0.065,0.201,0.6019,0.00942,0.00398,-0.1304,0.6986,1.0
21,-0.041,0.201,0.577,0.00984,0.00416,-0.1284,0.7067,0.7864
22,0.021,0.2,0.5892,0.00952,0.00405,-0.1288,0.7031,0.935
23,0.021,0.199,0.5943,0.0095,0.00403,-0.1299,0.7035,0.9735
24,0.034,0.199,0.5986,0.00954,0.00404,-0.1305,0.7038,1.0
25,0.077,0.2,0.6032,0.00954,0.00404,-0.1304,0.701,1.0
26,0.001,0.199,0.5796,0.00966,0.0041,-0.1276,0.7043,0.8485
27,0.014,0.2,0.5911,0.00955,0.00408,-0.1294,0.7042,0.9545
28,-0.057,0.2,0.5784,0.00985,0.00403,-0.1292,0.7052,0.7373
29,0.026,0.2,0.5928,0.00948,0.00403,-0.1294,0.7023,0.9571
30,-0.006,0.2,0.5788,0.0097,0.00414,-0.1276,0.7053,0.8477
31,-0.042,0.199,0.5762,0.00984,0.00418,-0.1282,0.7074,0.7931
32,-0.025,0.2,0.5776,0.00977,0.00414,-0.128,0.706,0.8102
33,-0.01,0.201,0.5797,0.0097,0.00407,-0.128,0.7039,0.8136
34,0.037,0.2,0.599,0.00949,0.00401,-0.1305,0.7024,1.0
35,0.048,0.2,0.6003,0.00958,0.00406,-0.1305,0.7036,1.0
36,-0.065,0.2,0.5764,0.00992,0.00413,-0.129,0.7074,0.7481
37,0.044,0.2,0.5999,0.00954,0.00404,-0.1305,0.7032,1.0
38,-0.012,0.2,0.5798,0.00969,0.00405,-0.1281,0.7037,0.8065
39,0.004,0.2,0.5804,0.00964,0.00406,-0.1277,0.7034,0.8384
40,-0.002,0.199,0.5802,0.00965,0.00404,-0.1278,0.7032,0.8204
41,-0.051,0.2,0.576,0.00989,0.00418,-0.1285,0.7079,0.7801
42,-0.049,0.2,0.5785,0.00983,0.00405,-0.129,0.7051,0.7517
43,-0.038,0.2,0.5767,0.00983,0.00417,-0.1282,0.7069,0.7954
44,0.05,0.2,0.6005,0.00959,0.00407,-0.1305,0.7037,1.0
45,-0.034,0.201,0.5774,0.00981,0.00415,-0.1282,0.7063,0.7957
46,-0.058,0.2,0.5776,0.00987,0.00408,-0.1291,0.706,0.7454
47,-0.035,0.2,0.5795,0.00977,0.00403,-0.1288,0.7041,0.766
48,-0.004,0.2,0.5796,0.00968,0.00408,-0.1277,0.7041,0.8294
49,-0.039,0.2,0.5774,0.00982,0.00412,-0.1284,0.7061,0.7837
50,0.022,0.2,0.5974,0.00953,0.00405,-0.1305,0.704,1.0
51,-0.012,0.2,0.578,0.00974,0.00418,-0.1276,0.7062,0.8462
52,0.017,0.2,0.582,0.00959,0.00407,-0.1275,0.7028,0.8696
53,0.018,0.199,0.5964,0.00954,0.00406,-0.1304,0.7045,0.9972
54,0.01,0.199,0.5808,0.00961,0.00406,-0.1275,0.7031,0.8503
55,-0.001,0.2,0.58,0.00966,0.00407,-0.1277,0.7037,0.8302
56,0.023,0.201,0.5976,0.00954,0.00405,-0.1305,0.704,1.0
57,0.064,0.2,0.6018,0.00947,0.004,-0.1304,0.7001,1.0
58,-0.058,0.2,0.5781,0.00986,0.00405,-0.1292,0.7054,0.7385
59,0.046,0.2,0.5999,0.00946,0.004,-0.1304,0.7011,1.0
60,-0.073,0.201,0.5754,0.00998,0.00418,-0.129,0.7088,0.747
61,-0.011,0.2,0.5797,0.00969,0.00406,-0.128,0.7038,0.8095
62,-0.071,0.2,0.5767,0.00993,0.00409,-0.1293,0.707,0.7314
63,-0.056,0.2,0.5768,0.00988,0.00413,-0.1288,0.7069,0.7596
64,0.062,0.2,0.6016,0.00947,0.00401,-0.1304,0.7003,1.0
65,-0.01,0.199,0.5784,0.00971,0.00413,-0.1277,0.7052,0.8345
66,0.033,0.199,0.5983,0.00958,0.00408,-0.1305,0.7045,1.0
67,-0.004,0.201,0.5791,0.0097,0.00415,-0.1276,0.7052,0.8502
68,0.041,0.2,0.5996,0.00955,0.00405,-0.1305,0.7035,1.0
69,0.048,0.2,0.6004,0.00956,0.00405,-0.1305,0.7033,1.0
70,0.048,0.199,0.6001,0.00951,0.00402,-0.1305,0.7024,1.0
71,0.036,0.201,0.599,0.00948,0.00401,-0.1305,0.7021,1.0
72,0.043,0.2,0.5996,0.00949,0.00401,-0.1305,0.7019,1.0
73,-0.022,0.199,0.5776,0.00975,0.00414,-0.1279,0.7058,0.8149
74,0.019,0.201,0.5819,0.00958,0.00406,-0.1275,0.7018,0.8579
75,0.028,0.2,0.5839,0.00953,0.00405,-0.1276,0.7013,0.8861
76,0.074,0.2,0.6028,0.00949,0.00401,-0.1304,0.6997,1.0
77,-0.06,0.199,0.5781,0.00985,0.00403,-0.1292,0.7053,0.7333
78,-0.053,0.2,0.5775,0.00986,0.0041,-0.1289,0.7062,0.7566
79,0.075,0.2,0.6029,0.00947,0.004,-0.1304,0.6993,1.0
80,-0.026,0.201,0.5789,0.00976,0.00408,-0.1283,0.7047,0.791
81,-0.057,0.2,0.5757,0.00991,0.00419,-0.1286,0.7082,0.772
82,0.008,0.201,0.592,0.00958,0.00411,-0.1298,0.7052,0.9677
83,0.062,0.201,0.6018,0.00957,0.00405,-0.1305,0.7023,1.0
84,-0.016,0.201,0.5779,0.00975,0.00416,-0.1277,0.7059,0.8303
85,-0.049,0.2,0.5762,0.00988,0.00418,-0.1285,0.7076,0.7809
86,-0.074,0.2,0.5768,0.00994,0.00408,-0.1294,0.7069,0.7248
87,-0.033,0.2,0.5771,0.00981,0.00415,-0.1282,0.7064,0.7997
88,0.042,0.201,0.5996,0.00946,0.004,-0.1305,0.7012,1.0
89,0.006,0.199,0.5805,0.00962,0.00405,-0.1276,0.7032,0.8409
90,-0.021,0.2,0.5781,0.00975,0.00413,-0.128,0.7055,0.8118
91,0.012,0.199,0.5834,0.00959,0.0041,-0.1279,0.7043,0.9015
92,0.055,0.201,0.6012,0.00957,0.00406,-0.1305,0.703,1.0
93,-0.016,0.2,0.5779,0.00974,0.00415,-0.1278,0.7057,0.8272
94,0.048,0.199,0.5999,0.00942,0.00398,-0.1304,0.7,1.0
95,0.034,0.2,0.5987,0.00949,0.00401,-0.1305,0.7025,1.0
96,-0.066,0.201,0.5784,0.00989,0.00402,-0.1294,0.7052,0.7207
97,-0.065,0.2,0.5766,0.00991,0.00412,-0.1291,0.7071,0.7448
98,-0.015,0.201,0.5791,0.00972,0.00409,-0.128,0.7045,0.8101
