,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.071,0.201,1.5158,0.02173,0.0152,-0.0892,0.2577,1.0
1,10.009,0.199,1.5162,0.02133,0.01483,-0.0903,0.2664,1.0
2,9.93,0.2,1.5154,0.02095,0.01448,-0.0914,0.2762,1.0
3,9.923,0.2,1.5155,0.02091,0.01445,-0.0915,0.2769,1.0
4,10.078,0.201,1.5159,0.02176,0.01522,-0.0891,0.2561,1.0
5,10.061,0.2,1.5154,0.02167,0.01514,-0.0894,0.2597,1.0
6,10.06,0.2,1.5154,0.02166,0.01513,-0.0894,0.2595,1.0
7,9.973,0.201,1.516,0.02119,0.01471,-0.0907,0.2711,1.0
8,9.958,0.2,1.5156,0.02111,0.01462,-0.091,0.2734,1.0
9,9.921,0.2,1.5155,0.0209,0.01444,-0.0915,0.2771,1.0
10,9.952,0.2,1.5154,0.02108,0.01459,-0.091,0.274,1.0
11,10.039,0.201,1.5156,0.02154,0.01502,-0.0897,0.261,1.0
12,10.073,0.201,1.5158,0.02176,0.01522,-0.0892,0.2581,1.0
13,9.982,0.199,1.5161,0.02118,0.0147,-0.0907,0.2699,1.0
