,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.961,0.2,0.6995,0.01006,0.00404,-0.1291,0.6597,1.0
1,1.073,0.2,0.7123,0.01009,0.004,-0.129,0.6545,1.0
2,1.048,0.199,0.7091,0.01013,0.00404,-0.129,0.6566,1.0
3,0.92,0.2,0.695,0.00998,0.004,-0.1291,0.6603,1.0
4,1.03,0.201,0.7074,0.0101,0.00403,-0.1291,0.6568,1.0
5,1.026,0.2,0.7069,0.01007,0.00401,-0.129,0.6565,1.0
6,0.95,0.2,0.6983,0.01003,0.00402,-0.1291,0.6597,1.0
7,0.932,0.2,0.6963,0.01001,0.00401,-0.1291,0.6603,1.0
8,1.019,0.199,0.7059,0.01007,0.00402,-0.129,0.6571,1.0
9,0.953,0.2,0.6987,0.00998,0.00398,-0.1291,0.6585,1.0
10,0.985,0.199,0.7022,0.01,0.00398,-0.129,0.6575,1.0
11,0.968,0.201,0.7005,0.01005,0.00403,-0.1291,0.6591,1.0
12,0.921,0.199,0.695,0.00997,0.00399,-0.1291,0.6602,1.0
13,1.075,0.199,0.7123,0.01015,0.00404,-0.129,0.6557,1.0
14,1.031,0.2,0.7074,0.01009,0.00402,-0.129,0.6567,1.0
