,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.017,0.201,1.1398,0.01338,0.00636,-0.1498,0.5528,1.0
1,4.051,0.199,1.1429,0.01341,0.00639,-0.1498,0.5523,1.0
2,3.928,0.199,1.13,0.01331,0.00628,-0.15,0.5556,1.0
3,3.921,0.2,1.1296,0.01335,0.0063,-0.15,0.5563,1.0
4,4.078,0.2,1.1461,0.01343,0.00641,-0.1498,0.5514,1.0
5,3.929,0.201,1.1306,0.01335,0.00631,-0.15,0.5558,1.0
6,3.939,0.201,1.1315,0.01332,0.00629,-0.15,0.555,1.0
7,4.035,0.201,1.1418,0.01346,0.00642,-0.1499,0.5533,1.0
8,4.016,0.2,1.1394,0.01339,0.00636,-0.1498,0.5531,1.0
9,4.033,0.2,1.1412,0.01339,0.00637,-0.1498,0.5525,1.0
10,3.942,0.2,1.1318,0.01338,0.00632,-0.15,0.5558,1.0
11,3.974,0.201,1.1352,0.01333,0.00631,-0.1499,0.5537,1.0
12,4.013,0.2,1.1392,0.01343,0.00639,-0.1499,0.5538,1.0
13,3.956,0.201,1.1335,0.01339,0.00634,-0.15,0.5553,1.0
14,3.965,0.2,1.134,0.01331,0.00629,-0.1499,0.5539,1.0
