,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,14.02,0.2,1.2774,0.05744,0.05146,0.0057,0.0343,1.0
1,14.008,0.199,1.2801,0.05724,0.05118,0.0059,0.0345,1.0
2,14.046,0.2,1.2773,0.0579,0.0519,0.0058,0.0344,1.0
3,13.959,0.199,1.2803,0.05646,0.05039,0.0057,0.0344,1.0
4,13.932,0.2,1.2818,0.05621,0.05009,0.0059,0.0345,1.0
5,14.075,0.2,1.2753,0.05828,0.05236,0.0056,0.0342,1.0
6,13.938,0.199,1.2809,0.05613,0.05005,0.0057,0.0344,1.0
7,14.033,0.201,1.2779,0.05783,0.05182,0.0059,0.0345,1.0
8,14.065,0.201,1.2751,0.05824,0.05231,0.0057,0.0342,1.0
9,13.954,0.2,1.2802,0.0565,0.05043,0.0058,0.0344,1.0
10,13.964,0.2,1.2795,0.0566,0.05056,0.0057,0.0344,1.0
11,14.022,0.201,1.2787,0.05769,0.05164,0.006,0.0345,1.0
12,14.038,0.2,1.277,0.05776,0.05177,0.0057,0.0343,1.0
13,14.03,0.2,1.2781,0.05765,0.05164,0.0059,0.0344,1.0
14,13.929,0.201,1.2819,0.05629,0.05016,0.006,0.0346,1.0
