,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,16.044,0.2,1.3192,0.08644,0.08112,-0.0163,0.0316,1.0
1,16.032,0.2,1.3203,0.08611,0.08076,-0.016,0.0317,1.0
2,15.974,0.2,1.3234,0.08485,0.07945,-0.0156,0.0318,1.0
3,16.056,0.201,1.3175,0.08692,0.08163,-0.0165,0.0316,1.0
4,15.989,0.2,1.3233,0.08509,0.07968,-0.0155,0.0318,1.0
5,16.039,0.201,1.3199,0.08634,0.08098,-0.0159,0.0318,1.0
6,15.943,0.2,1.3243,0.08429,0.07889,-0.0157,0.0317,1.0
7,15.924,0.201,1.3246,0.08405,0.07864,-0.0156,0.0317,1.0
8,15.939,0.199,1.3263,0.0839,0.07845,-0.0152,0.0318,1.0
9,16.062,0.201,1.3181,0.08692,0.0816,-0.0163,0.0317,1.0
10,15.928,0.201,1.3258,0.08395,0.0785,-0.0151,0.0319,1.0
11,15.99,0.201,1.3226,0.08527,0.07987,-0.0155,0.0318,1.0
12,16.007,0.2,1.3214,0.08561,0.08025,-0.0159,0.0317,1.0
13,16.058,0.201,1.3188,0.08676,0.08142,-0.0161,0.0318,1.0
14,15.955,0.2,1.3248,0.08441,0.07897,-0.0153,0.0318,1.0
