,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.03,0.2,1.3037,0.03953,0.03233,-0.0229,0.0485,1.0
1,11.977,0.199,1.3028,0.03904,0.03183,-0.0232,0.0489,1.0
2,12.052,0.2,1.3036,0.03978,0.03257,-0.0227,0.0485,1.0
3,12.068,0.199,1.3044,0.03982,0.03262,-0.0227,0.0483,1.0
4,12.038,0.199,1.304,0.03955,0.03235,-0.0229,0.0485,1.0
5,11.965,0.2,1.3014,0.03911,0.03188,-0.0231,0.0493,1.0
6,11.984,0.2,1.303,0.03913,0.03192,-0.0232,0.0488,1.0
7,12.034,0.2,1.3041,0.03952,0.03233,-0.0229,0.0484,1.0
8,12.022,0.199,1.3029,0.0395,0.03229,-0.0229,0.0488,1.0
9,12.044,0.2,1.3033,0.03973,0.03252,-0.0227,0.0487,1.0
10,11.968,0.201,1.3021,0.0391,0.03188,-0.0231,0.049,1.0
11,11.998,0.199,1.3026,0.03929,0.03207,-0.023,0.049,1.0
12,11.932,0.2,1.3014,0.03876,0.03153,-0.0234,0.0493,1.0
13,11.971,0.199,1.3018,0.0391,0.03186,-0.0231,0.0493,1.0
14,12.0,0.2,1.3019,0.03943,0.0322,-0.0229,0.0492,1.0
