,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,4.949,0.505,0.7199,0.01592,0.00886,-0.0028,0.1219,1.0
1,4.902,0.504,0.7162,0.01575,0.0087,-0.0034,0.1246,1.0
2,5.027,0.506,0.7269,0.01611,0.00909,-0.0018,0.1172,1.0
3,5.06,0.509,0.7309,0.01625,0.00924,-0.0012,0.1147,1.0
4,5.085,0.498,0.7279,0.0161,0.00905,-0.0016,0.1159,1.0
5,5.065,0.506,0.7299,0.01621,0.00918,-0.0014,0.1151,1.0
6,5.039,0.503,0.7265,0.01609,0.00905,-0.0019,0.1172,1.0
7,4.919,0.508,0.7187,0.01591,0.00884,-0.0029,0.1229,1.0
8,5.008,0.492,0.7187,0.01582,0.00872,-0.0029,0.1218,1.0
9,4.961,0.493,0.7157,0.01571,0.00861,-0.0033,0.1241,1.0
10,5.017,0.491,0.719,0.01583,0.00873,-0.0028,0.1216,1.0
11,4.976,0.504,0.7218,0.01596,0.0089,-0.0025,0.1206,1.0
12,5.042,0.497,0.724,0.01598,0.00892,-0.0022,0.1186,1.0
13,5.016,0.508,0.727,0.01612,0.0091,-0.0018,0.1173,1.0
14,5.022,0.507,0.727,0.01612,0.00909,-0.0018,0.1172,1.0
15,5.071,0.5,0.7277,0.01611,0.00906,-0.0017,0.1162,1.0
16,4.935,0.502,0.7174,0.01583,0.00875,-0.0031,0.1234,1.0
17,5.079,0.5,0.7283,0.01613,0.00908,-0.0016,0.1158,1.0
18,5.097,0.492,0.7262,0.01602,0.00895,-0.0019,0.1167,1.0
19,5.075,0.492,0.7244,0.01597,0.0089,-0.0021,0.1179,1.0
20,4.904,0.493,0.7118,0.01552,0.00847,-0.004,0.1273,1.0
21,5.082,0.493,0.7254,0.016,0.00894,-0.002,0.1173,1.0
22,4.918,0.509,0.7192,0.01593,0.00886,-0.0029,0.1226,1.0
23,4.965,0.499,0.7183,0.01585,0.00876,-0.0029,0.1225,1.0
24,4.924,0.504,0.7175,0.01583,0.00877,-0.0031,0.1235,1.0
25,5.041,0.505,0.7276,0.01613,0.0091,-0.0017,0.1166,1.0
26,5.003,0.504,0.724,0.01602,0.00898,-0.0022,0.119,1.0
27,5.001,0.499,0.7215,0.01593,0.00886,-0.0025,0.1204,1.0
28,4.952,0.491,0.7144,0.01563,0.00854,-0.0036,0.1251,1.0
29,5.046,0.493,0.7225,0.01592,0.00884,-0.0024,0.1193,1.0
30,4.904,0.5,0.7147,0.01567,0.00861,-0.0036,0.1255,1.0
31,5.007,0.504,0.7244,0.01603,0.00899,-0.0022,0.1188,1.0
32,4.988,0.501,0.7213,0.01593,0.00887,-0.0026,0.1207,1.0
33,5.024,0.5,0.7239,0.01599,0.00894,-0.0022,0.1188,1.0
34,4.935,0.498,0.7159,0.01573,0.00865,-0.0034,0.1243,1.0
35,4.928,0.507,0.719,0.01591,0.00885,-0.0029,0.1226,1.0
36,4.956,0.491,0.7146,0.01564,0.00855,-0.0035,0.1248,1.0
37,5.044,0.508,0.7292,0.01619,0.00917,-0.0015,0.1158,1.0
38,5.049,0.506,0.7287,0.01617,0.00914,-0.0016,0.116,1.0
39,5.006,0.504,0.7243,0.01603,0.00898,-0.0022,0.1189,1.0
