,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,5.075,0.2,1.4586,0.01678,0.00932,-0.1961,0.5295,1.0
1,4.988,0.201,1.4511,0.01668,0.00919,-0.1965,0.5308,1.0
2,5.021,0.199,1.4533,0.01668,0.00921,-0.1963,0.5302,1.0
3,5.078,0.201,1.4597,0.01685,0.00937,-0.1963,0.5299,1.0
4,5.013,0.201,1.4536,0.01674,0.00924,-0.1964,0.5306,1.0
5,4.97,0.2,1.4492,0.01664,0.00914,-0.1965,0.5311,1.0
6,4.936,0.2,1.4458,0.01656,0.00907,-0.1966,0.5312,1.0
7,4.972,0.2,1.4493,0.01664,0.00914,-0.1965,0.531,1.0
8,5.051,0.2,1.4566,0.01676,0.00929,-0.1962,0.53,1.0
9,4.946,0.199,1.4466,0.01658,0.00908,-0.1966,0.5312,1.0
10,4.944,0.201,1.4471,0.01661,0.0091,-0.1966,0.5313,1.0
11,5.0,0.2,1.4522,0.01671,0.00921,-0.1965,0.5309,1.0
12,4.927,0.2,1.4451,0.01658,0.00907,-0.1967,0.5317,1.0
13,5.05,0.2,1.4563,0.01675,0.00928,-0.1962,0.5299,1.0
14,5.056,0.2,1.4571,0.01678,0.0093,-0.1962,0.53,1.0
