,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,1.035,0.199,246482,0.516,0.00916,0.00351,-0.0859,0.6995,1.0
1,1.0,0.201,245685,0.5126,0.00916,0.00353,-0.086,0.7012,1.0
2,0.974,0.2,245104,0.5098,0.00915,0.00355,-0.0861,0.7029,1.0
3,0.953,0.2,246068,0.5077,0.00913,0.00354,-0.0862,0.7037,1.0
4,1.009,0.201,248908,0.5136,0.00912,0.00349,-0.086,0.6996,1.0
5,1.06,0.201,248655,0.5185,0.00914,0.00351,-0.0858,0.6963,1.0
6,1.063,0.2,247664,0.5187,0.00916,0.00351,-0.0858,0.6968,1.0
7,0.998,0.2,248605,0.5123,0.00911,0.0035,-0.086,0.7004,1.0
8,1.046,0.2,253717,0.5169,0.00905,0.00346,-0.0858,0.6949,1.0
9,0.965,0.199,252677,0.5089,0.00903,0.00346,-0.0861,0.7007,1.0
