,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,1.964,0.201,249433,0.6088,0.00962,0.00365,-0.0828,0.6446,1.0
1,2.004,0.198,247085,0.6125,0.00968,0.00368,-0.0827,0.6437,1.0
2,1.962,0.197,245870,0.6082,0.00968,0.00367,-0.0828,0.647,1.0
3,1.973,0.199,248106,0.6095,0.00965,0.00366,-0.0828,0.6449,1.0
4,2.042,0.203,247613,0.6169,0.00971,0.0037,-0.0826,0.6408,1.0
5,1.997,0.202,245151,0.6123,0.00972,0.0037,-0.0828,0.6445,1.0
6,1.933,0.2,247747,0.6057,0.00964,0.00364,-0.0829,0.6474,1.0
7,2.005,0.203,254849,0.6131,0.00956,0.0036,-0.0827,0.6397,1.0
8,1.973,0.2,247294,0.6096,0.00966,0.00367,-0.0828,0.6452,1.0
9,2.043,0.198,250908,0.6164,0.00964,0.00365,-0.0825,0.6399,1.0
