,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,15.96,0.202,252471,1.322,0.08498,0.07961,-0.0159,0.0317,1.0
1,16.021,0.198,251743,1.3218,0.08561,0.08027,-0.0161,0.0316,1.0
2,15.948,0.201,249654,1.3245,0.08441,0.07898,-0.0154,0.0318,1.0
3,15.972,0.199,248321,1.325,0.08455,0.07911,-0.0153,0.0318,1.0
4,15.95,0.202,248955,1.3239,0.08459,0.07916,-0.0153,0.0319,1.0
5,15.933,0.202,252777,1.3234,0.08441,0.07902,-0.0157,0.0317,1.0
6,16.019,0.202,254252,1.3183,0.08636,0.08107,-0.0166,0.0315,1.0
7,16.045,0.2,254961,1.3182,0.0866,0.08133,-0.0168,0.0314,1.0
8,15.993,0.2,254526,1.3211,0.08545,0.08012,-0.0163,0.0315,1.0
9,16.001,0.201,248959,1.3218,0.08553,0.08014,-0.0157,0.0318,1.0
