,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,2.997,0.202,253703,0.7147,0.01027,0.00404,-0.0799,0.591,1.0
1,2.932,0.202,251682,0.7081,0.01026,0.00403,-0.0801,0.595,1.0
2,2.977,0.197,246273,0.7121,0.01038,0.0041,-0.08,0.5957,1.0
3,2.94,0.201,245879,0.7089,0.01037,0.00409,-0.0801,0.5973,1.0
4,3.029,0.201,253459,0.7179,0.0103,0.00405,-0.0798,0.5897,1.0
5,3.034,0.202,253287,0.7186,0.01031,0.00406,-0.0798,0.5894,1.0
6,2.993,0.199,250453,0.7139,0.01032,0.00406,-0.0799,0.5928,1.0
7,2.994,0.199,249816,0.714,0.01033,0.00407,-0.0799,0.593,1.0
8,2.926,0.2,246483,0.7073,0.01035,0.00407,-0.0801,0.5979,1.0
9,3.058,0.202,247072,0.7212,0.01043,0.00414,-0.0798,0.5908,1.0
