,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,17.076,0.201,250036,1.2481,0.11361,0.10924,-0.0288,0.0308,1.0
1,17.001,0.2,245409,1.2551,0.11099,0.1065,-0.027,0.0312,1.0
2,17.036,0.202,251274,1.2505,0.11263,0.10825,-0.0284,0.0308,1.0
3,17.049,0.201,249334,1.2502,0.11279,0.10839,-0.0283,0.0309,1.0
4,16.959,0.2,250569,1.2584,0.10983,0.10536,-0.0268,0.0308,1.0
5,17.01,0.201,246954,1.2533,0.11156,0.10711,-0.0274,0.0311,1.0
6,16.926,0.199,249205,1.2618,0.10863,0.10412,-0.0261,0.0309,1.0
7,16.977,0.2,251693,1.2572,0.11035,0.10591,-0.0272,0.0307,1.0
8,16.995,0.199,247017,1.2564,0.11063,0.10615,-0.027,0.0311,1.0
9,16.955,0.2,247208,1.2586,0.10967,0.10517,-0.0265,0.0311,1.0
