,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,6.051,0.2,246890,1.0252,0.01302,0.00643,-0.0711,0.4365,1.0
1,6.064,0.2,247679,1.0265,0.01301,0.00643,-0.071,0.4352,1.0
2,5.932,0.202,247740,1.0142,0.01287,0.0063,-0.0715,0.443,1.0
3,6.059,0.202,247909,1.0264,0.013,0.00643,-0.0711,0.4352,1.0
4,5.973,0.199,246923,1.0175,0.01292,0.00634,-0.0714,0.4412,1.0
5,6.054,0.199,250741,1.0253,0.01293,0.00638,-0.0711,0.4348,1.0
6,6.011,0.202,251772,1.0218,0.01289,0.00632,-0.0712,0.437,1.0
7,5.954,0.2,249905,1.0159,0.01285,0.00629,-0.0715,0.4412,1.0
8,5.957,0.199,248159,1.0159,0.01288,0.00631,-0.0715,0.4417,1.0
9,6.074,0.203,254679,1.0282,0.01288,0.00636,-0.071,0.4312,1.0
