,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,8.031,0.198,248041,1.1882,0.01637,0.00938,-0.0596,0.2404,1.0
1,8.056,0.197,252620,1.1894,0.0164,0.00939,-0.0595,0.235,1.0
2,7.992,0.197,248189,1.1858,0.01623,0.00927,-0.06,0.2466,1.0
3,7.97,0.201,251993,1.1852,0.01615,0.0092,-0.0601,0.2461,1.0
4,8.065,0.197,251468,1.1899,0.01644,0.00943,-0.0594,0.2342,1.0
5,8.051,0.199,252404,1.1893,0.0164,0.0094,-0.0594,0.2351,1.0
6,7.934,0.199,251385,1.1825,0.01603,0.0091,-0.0605,0.2522,1.0
7,8.059,0.2,246499,1.1898,0.01652,0.00949,-0.0593,0.2368,1.0
8,8.055,0.202,247050,1.1898,0.01652,0.0095,-0.0592,0.2364,1.0
9,8.018,0.199,247845,1.1877,0.01634,0.00936,-0.0597,0.2421,1.0
