,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,13.061,0.197,245678,1.3248,0.04832,0.04141,-0.0178,0.0423,1.0
1,13.056,0.198,250742,1.3253,0.04819,0.04132,-0.0181,0.0418,1.0
2,13.045,0.2,254181,1.3254,0.04811,0.04126,-0.0183,0.0416,1.0
3,13.067,0.2,245688,1.3245,0.04855,0.04165,-0.0177,0.0423,1.0
4,13.03,0.2,253461,1.325,0.048,0.04114,-0.0183,0.0417,1.0
5,13.021,0.2,247887,1.3238,0.04808,0.04118,-0.018,0.0423,1.0
6,13.013,0.201,254899,1.3248,0.04787,0.04102,-0.0184,0.0417,1.0
7,12.951,0.2,252930,1.3232,0.04732,0.04043,-0.0185,0.0422,1.0
8,12.941,0.2,254623,1.3233,0.04719,0.0403,-0.0187,0.0421,1.0
9,12.947,0.2,247014,1.3221,0.04745,0.0405,-0.0182,0.0429,1.0
