,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,2.043,0.202,246788,0.4496,0.00958,0.00402,-0.0423,0.6491,1.0
1,1.986,0.198,253855,0.4384,0.00945,0.00396,-0.0414,0.6521,0.9984
2,2.038,0.2,247326,0.4489,0.00957,0.00401,-0.0423,0.6496,1.0
3,2.034,0.2,253248,0.4478,0.00949,0.00397,-0.0421,0.647,0.9998
4,1.957,0.202,253731,0.4333,0.00945,0.00397,-0.0409,0.6547,0.9974
5,2.048,0.198,250550,0.4495,0.00953,0.00398,-0.0422,0.6473,1.0
6,2.014,0.198,250182,0.4463,0.00952,0.00399,-0.0423,0.6506,1.0
7,1.927,0.203,246641,0.4335,0.00956,0.00403,-0.0416,0.6609,0.9983
8,2.053,0.203,246502,0.4507,0.00959,0.00402,-0.0423,0.6482,1.0
9,2.006,0.198,246569,0.4456,0.00957,0.00403,-0.0424,0.6534,1.0
