,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,0.922,0.199,253252,0.2506,0.009,0.00397,-0.0283,0.7564,0.9631
1,0.979,0.199,246936,0.263,0.00915,0.00407,-0.0294,0.7542,0.9675
2,0.946,0.2,246242,0.2585,0.00916,0.00407,-0.0293,0.7577,0.9659
3,1.01,0.2,246743,0.267,0.00918,0.00408,-0.0294,0.7513,0.9696
4,0.977,0.2,254580,0.259,0.009,0.00396,-0.0286,0.7503,0.9651
5,1.077,0.198,249121,0.2781,0.00916,0.00404,-0.0301,0.7447,0.9709
6,0.944,0.2,252189,0.2549,0.00903,0.00399,-0.0286,0.7546,0.9642
7,0.975,0.198,245235,0.2631,0.00919,0.0041,-0.0295,0.7557,0.968
8,1.075,0.199,254787,0.2734,0.00905,0.00396,-0.0291,0.7424,0.9701
9,0.921,0.201,254402,0.2497,0.00898,0.00396,-0.0281,0.7555,0.9627
