,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,9.01,0.202,246223,1.0318,0.02271,0.01501,-0.0041,0.0609,1.0
1,8.958,0.199,254805,1.0293,0.0222,0.01454,-0.0049,0.0607,1.0
2,8.979,0.198,251890,1.0302,0.02235,0.01468,-0.0047,0.0608,1.0
3,9.01,0.201,251506,1.0321,0.02259,0.0149,-0.0043,0.0603,1.0
4,9.066,0.202,246084,1.0349,0.02303,0.01531,-0.0037,0.0602,1.0
5,9.066,0.197,254102,1.0342,0.02293,0.0152,-0.004,0.0593,1.0
6,8.984,0.199,251849,1.0306,0.0224,0.01472,-0.0046,0.0607,1.0
7,8.938,0.2,247492,1.0272,0.02234,0.01465,-0.0048,0.0618,1.0
8,9.011,0.199,246712,1.0317,0.02265,0.01495,-0.0043,0.061,1.0
9,9.075,0.201,248848,1.0352,0.02306,0.01533,-0.0037,0.0597,1.0
