,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.022,0.2,252979,1.0992,0.02701,0.01957,0.0025,0.0491,1.0
1,10.003,0.201,252205,1.0979,0.02698,0.01953,0.0024,0.0493,1.0
2,10.07,0.197,253986,1.1021,0.0271,0.01969,0.0026,0.0486,1.0
3,9.952,0.201,251256,1.0944,0.02683,0.01933,0.0021,0.0498,1.0
4,9.984,0.197,247153,1.0958,0.0271,0.01956,0.0021,0.05,1.0
5,9.96,0.2,245922,1.0943,0.02714,0.01957,0.0021,0.0503,1.0
6,9.96,0.202,250597,1.0949,0.02691,0.01942,0.0022,0.0498,1.0
7,10.01,0.197,252892,1.0982,0.0269,0.01944,0.0022,0.0493,1.0
8,9.973,0.202,246284,1.0953,0.0272,0.01967,0.0023,0.0501,1.0
9,9.969,0.201,247858,1.0951,0.02708,0.01955,0.0022,0.05,1.0
