,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,7.076,0.199,247841,0.8881,0.01617,0.00852,-0.0167,0.1208,1.0
1,6.935,0.202,250276,0.8775,0.01577,0.00817,-0.0175,0.13,1.0
2,7.025,0.2,249101,0.8846,0.016,0.00838,-0.017,0.1237,1.0
3,7.044,0.2,246516,0.8858,0.0161,0.00847,-0.0169,0.1231,1.0
4,7.014,0.2,252816,0.8841,0.0159,0.00831,-0.0172,0.1235,1.0
5,6.986,0.198,245245,0.8806,0.01596,0.00833,-0.0172,0.1281,1.0
6,7.059,0.201,248535,0.8872,0.01612,0.00849,-0.0168,0.1214,1.0
7,7.025,0.202,245170,0.8845,0.01609,0.00846,-0.0169,0.1245,1.0
8,6.927,0.2,248132,0.8761,0.01579,0.00817,-0.0175,0.1315,1.0
9,6.94,0.202,250653,0.878,0.01577,0.00818,-0.0175,0.1294,1.0
