,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,5.925,0.203,251024,0.7982,0.01315,0.00614,-0.0237,0.2442,1.0
1,5.984,0.198,246818,0.802,0.01332,0.00624,-0.0234,0.2397,1.0
2,6.064,0.199,252253,0.8089,0.01341,0.00632,-0.0229,0.2261,1.0
3,5.932,0.202,248008,0.7985,0.0132,0.00617,-0.0236,0.2451,1.0
4,5.926,0.202,246897,0.7979,0.01321,0.00617,-0.0237,0.2465,1.0
5,6.051,0.197,247322,0.8073,0.01344,0.00634,-0.023,0.2308,1.0
6,5.922,0.2,246136,0.7972,0.0132,0.00617,-0.0237,0.2481,1.0
7,6.047,0.2,248410,0.8075,0.01344,0.00634,-0.023,0.2299,1.0
8,5.927,0.199,245996,0.7975,0.01321,0.00617,-0.0237,0.2478,1.0
9,5.953,0.198,250698,0.7997,0.01319,0.00616,-0.0236,0.242,1.0
