,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,14.03,0.198,251722,1.1246,0.06767,0.06294,0.0188,0.0337,1.0
1,13.943,0.2,246969,1.1201,0.06738,0.06263,0.019,0.0343,1.0
2,14.056,0.199,254261,1.1278,0.06754,0.06281,0.0188,0.0334,1.0
3,14.07,0.197,254126,1.1295,0.0674,0.06266,0.0189,0.0333,1.0
4,13.957,0.202,254669,1.1313,0.06591,0.06113,0.0195,0.0334,1.0
5,13.942,0.202,245357,1.0024,0.06102,0.05628,0.0288,0.0364,1.0
6,14.013,0.199,245246,1.1135,0.0692,0.06451,0.0182,0.0345,1.0
7,14.028,0.203,250166,1.1147,0.06927,0.06461,0.018,0.034,1.0
8,13.937,0.2,252477,1.1301,0.0658,0.06101,0.0196,0.0337,1.0
9,13.924,0.201,253069,1.1309,0.06555,0.06075,0.0197,0.0337,1.0
