,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,10.983,0.198,251822,1.1517,0.03215,0.02502,0.0095,0.0425,1.0
1,11.023,0.199,252278,1.153,0.03236,0.02528,0.0099,0.0422,1.0
2,11.011,0.202,254903,1.1521,0.03222,0.02518,0.0101,0.042,1.0
3,11.006,0.2,251583,1.1524,0.03234,0.02525,0.0098,0.0424,1.0
4,11.032,0.203,254168,1.1529,0.03242,0.0254,0.0103,0.042,1.0
5,10.988,0.198,252035,1.1518,0.03215,0.02504,0.0095,0.0424,1.0
6,11.053,0.201,247663,1.1546,0.03289,0.02581,0.0102,0.0424,1.0
7,10.986,0.199,248923,1.1522,0.03239,0.02524,0.0095,0.0427,1.0
8,10.982,0.198,251423,1.1517,0.03216,0.02504,0.0094,0.0425,1.0
9,10.957,0.201,251206,1.1506,0.03215,0.02501,0.0094,0.0427,1.0
