,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,12.999,0.2,253273,1.1758,0.04974,0.04412,0.0226,0.035,1.0
1,13.061,0.201,248196,1.171,0.05117,0.04559,0.0228,0.0354,1.0
2,12.95,0.198,245462,1.1776,0.04951,0.04377,0.0226,0.0358,1.0
3,13.03,0.201,252546,1.1736,0.05035,0.04476,0.0227,0.035,1.0
4,12.94,0.202,245641,1.1753,0.04975,0.04403,0.0227,0.0359,1.0
5,12.92,0.201,248370,1.1768,0.0492,0.04347,0.0226,0.0357,1.0
6,13.024,0.201,251155,1.1733,0.05039,0.04479,0.0227,0.0352,1.0
7,13.076,0.203,248105,1.1688,0.05163,0.04608,0.0229,0.0354,1.0
8,12.923,0.199,246210,1.178,0.04919,0.04343,0.0225,0.0358,1.0
9,13.023,0.2,247356,1.1732,0.05059,0.04495,0.0228,0.0355,1.0
