,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.921,0.197,249960,0.624,0.01056,0.00433,-0.0347,0.4779,1.0
1,4.017,0.198,252984,0.6331,0.01058,0.00436,-0.0343,0.4667,1.0
2,4.001,0.198,249061,0.6316,0.01062,0.00438,-0.0343,0.4702,1.0
3,4.073,0.202,249167,0.6385,0.0107,0.00443,-0.0339,0.4628,1.0
4,4.061,0.198,245272,0.6369,0.01073,0.00446,-0.034,0.4663,1.0
5,3.983,0.199,246779,0.63,0.01064,0.0044,-0.0344,0.473,1.0
6,4.003,0.201,247489,0.6322,0.01065,0.0044,-0.0343,0.4703,1.0
7,4.031,0.199,248249,0.6344,0.01066,0.00441,-0.0342,0.4675,1.0
8,3.994,0.197,246950,0.6308,0.01064,0.0044,-0.0343,0.4722,1.0
9,3.952,0.201,246350,0.6274,0.01064,0.00439,-0.0345,0.476,1.0
