,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,19.933,0.199,252829,0.5911,0.20725,0.20411,-0.0417,0.0398,1.0
1,20.037,0.2,250721,0.5926,0.20844,0.20529,-0.0422,0.0395,1.0
2,19.963,0.198,248201,0.9074,0.24729,0.24377,-0.0784,0.0369,1.0
3,19.975,0.202,254656,0.902,0.24796,0.24446,-0.081,0.0367,1.0
4,20.031,0.202,250315,0.5925,0.20843,0.20528,-0.0422,0.0395,1.0
5,19.994,0.202,254582,0.5925,0.20785,0.20473,-0.0419,0.0392,1.0
6,20.012,0.201,249270,0.5921,0.20825,0.2051,-0.0421,0.0398,1.0
7,19.959,0.201,248531,0.5912,0.2077,0.20454,-0.0418,0.0403,1.0
8,20.051,0.199,254498,0.5935,0.20835,0.20523,-0.0421,0.0389,1.0
9,19.924,0.198,248526,0.5906,0.20726,0.20409,-0.0416,0.0406,1.0
