,Alpha,Mach,Reynolds,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,18.95,0.202,249078,0.5837,0.19527,0.19208,-0.0359,0.0445,1.0
1,19.014,0.197,249208,0.5857,0.19572,0.19254,-0.0359,0.0443,1.0
2,18.95,0.199,252125,0.8611,0.2343,0.23075,-0.0761,0.0399,1.0
3,19.065,0.203,248664,0.8649,0.23615,0.23258,-0.0772,0.0397,1.0
4,19.025,0.2,253116,0.8638,0.23524,0.23171,-0.0767,0.0393,1.0
5,18.99,0.2,246314,0.5833,0.19583,0.19263,-0.0362,0.0446,1.0
6,18.946,0.197,246546,0.5821,0.19535,0.19215,-0.0361,0.0447,1.0
7,19.011,0.203,245274,0.5834,0.19617,0.19296,-0.0364,0.0446,1.0
8,18.986,0.199,253344,0.588,0.19515,0.192,-0.0354,0.044,1.0
9,19.007,0.199,247640,0.5845,0.19585,0.19265,-0.0361,0.0444,1.0
