,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,3.975,0.2,0.8163,0.01108,0.00466,-0.0775,0.5468,1.0
1,3.991,0.199,0.8178,0.01111,0.00468,-0.0775,0.5466,1.0
2,4.073,0.2,0.8265,0.01119,0.00476,-0.0773,0.543,1.0
3,4.059,0.2,0.825,0.01118,0.00475,-0.0773,0.5436,1.0
4,3.976,0.201,0.8166,0.0111,0.00467,-0.0775,0.5471,1.0
5,3.92,0.2,0.8107,0.01106,0.00462,-0.0777,0.55,1.0
6,4.08,0.201,0.8274,0.0112,0.00476,-0.0773,0.5425,1.0
7,4.053,0.2,0.8243,0.01113,0.00471,-0.0773,0.5428,1.0
8,3.969,0.201,0.816,0.01115,0.0047,-0.0776,0.5486,1.0
9,4.042,0.199,0.8231,0.01118,0.00474,-0.0774,0.5448,1.0
10,4.045,0.201,0.8237,0.01118,0.00474,-0.0774,0.5442,1.0
11,4.025,0.2,0.8215,0.01118,0.00474,-0.0774,0.5458,1.0
12,4.016,0.199,0.8204,0.01117,0.00473,-0.0774,0.5463,1.0
13,4.059,0.199,0.8248,0.01114,0.00472,-0.0773,0.5429,1.0
14,3.948,0.2,0.8136,0.0111,0.00466,-0.0776,0.549,1.0
