,Alpha,Mach,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,11.048,0.199,1.2812,0.03212,0.02462,-0.0288,0.0586,1.0
1,10.99,0.201,1.2801,0.03173,0.02423,-0.0292,0.059,1.0
2,10.923,0.201,1.2784,0.03126,0.02374,-0.0297,0.0597,1.0
3,11.057,0.2,1.2823,0.03213,0.02465,-0.0288,0.0582,1.0
4,11.056,0.201,1.2829,0.03208,0.02462,-0.0288,0.0579,1.0
5,10.933,0.2,1.2772,0.03145,0.0239,-0.0295,0.0601,1.0
6,10.977,0.2,1.2789,0.0317,0.02418,-0.0292,0.0595,1.0
7,10.952,0.201,1.2784,0.03154,0.02401,-0.0294,0.0597,1.0
8,11.019,0.2,1.2809,0.0319,0.02441,-0.029,0.0587,1.0
9,10.935,0.2,1.2788,0.03132,0.0238,-0.0296,0.0597,1.0
10,10.937,0.201,1.278,0.03143,0.02391,-0.0295,0.0598,1.0
11,11.02,0.2,1.281,0.0319,0.02441,-0.029,0.0587,1.0
12,11.006,0.2,1.2809,0.03178,0.02428,-0.0292,0.0588,1.0
13,10.939,0.199,1.2772,0.03147,0.02392,-0.0295,0.0601,1.0
14,10.986,0.2,1.2803,0.03165,0.02415,-0.0293,0.059,1.0
